property_id,category_desc,area_ha
3639986,Sheep,2.399
3640197,Forestry,1.198
3640197,Sheep,1.465
3640251,Forestry,17.388
3640487,Beef and Sheep,2.572
3640487,Forestry,0.34
3640491,Beef and Sheep,0.152
3640491,Sheep,0.412
3640916,Sheep,3.376
3640982,Beef and Sheep,122.159
3640982,Sheep,3.323
3642090,Sheep,0.137
3642286,Beef and Sheep,14.192
3642286,Forestry,0.137
3642286,Sheep,14.783
3642504,Sheep,1.553
3642688,Forestry,1.75
3642688,Sheep,14.029
3642985,Sheep,36.621
3643150,Sheep,16.635
3643219,Forestry,14.047
3643266,Sheep,1.087
3643297,Beef and Sheep,20.342
3643297,Forestry,0.111
3643297,Sheep,18.76
3643301,Sheep,10.618
3643358,Forestry,0.021
3643358,Sheep,0.259
3643361,Sheep,13.315
3643362,Forestry,6.898
3643369,Sheep,0.103
3643398,Sheep,1.938
3643582,Forestry,0.572
3643582,Sheep,12.45
3643583,Forestry,4.667
3643583,Sheep,10.919
3643854,Sheep,0.105
3644126,Forestry,35.552
3644126,Sheep,176.421
3645325,Sheep,0.255
3645632,Sheep,0.08
3646052,Sheep,33.024
3646954,Forestry,0.03
3647053,Forestry,40.8
3647466,Sheep,0.089
3647744,Sheep,1.094
3647780,Sheep,7.915
3648269,Sheep,0.498
3648357,Beef and Sheep,18.196
3648357,Sheep,14.325
3648358,Sheep,0.441
3648443,Sheep,0.373
3648844,Sheep,35.277
3649101,Sheep,3.06
3649102,Forestry,2.309
3649102,Sheep,72.351
3649112,Forestry,0.022
3649112,Sheep,0.267
3649115,Forestry,5.498
3649115,Sheep,36.37
3649237,Sheep,0.874
3649319,Forestry,0.006
3649319,Sheep,0.268
3650013,Beef and Sheep,1.891
3650013,Forestry,0.014
3650174,Forestry,0.31
3650174,Sheep,2.774
3650191,Beef and Sheep,5.388
3650191,Sheep,31.718
3650323,Sheep,0.152
3650684,Sheep,1.551
3650700,Sheep,2.65
3651390,Beef and Sheep,13.772
3651440,Sheep,0.007
3651680,Sheep,0.103
3651681,Sheep,0.104
3651950,Sheep,0.014
3652359,Sheep,1.151
3652361,Sheep,1.127
3654922,Forestry,4.446
3654922,Sheep,112.696
3654940,Forestry,0.101
3654940,Sheep,82.405
3654955,Forestry,0.279
3654955,Sheep,3.149
3655318,Forestry,18.172
3655318,Sheep,21.13
3655897,Forestry,0.349
3655897,Sheep,0.197
3656157,Forestry,0.005
3656308,Sheep,0.001
3656334,Sheep,0.85
3656407,Forestry,123.984
3656407,Sheep,6.403
3656728,Sheep,0.155
3657149,Forestry,16.682
3657149,Sheep,7.186
3657316,Beef and Sheep,1.097
3657316,Forestry,2.122
3657316,Sheep,0.019
3658439,Forestry,0.066
3658625,Forestry,80.404
3658625,Sheep,1.433
3658628,Beef and Sheep,1.067
3658628,Forestry,0.766
3658908,Sheep,0.339
3659953,Beef and Sheep,27.589
3660060,Forestry,8.292
3660060,Sheep,2.485
3660328,Sheep,0.154
3660946,Sheep,6.489
3660996,Forestry,102.858
3705227,Forestry,7.21
3705230,Forestry,0.034
3705248,Forestry,0.516
3705252,Forestry,0.231
3705257,Sheep,0.225
3705259,Beef and Sheep,1.915
3705259,Sheep,9.483
3705266,Beef and Sheep,0.016
3705284,Forestry,16.255
3705294,Forestry,0.544
3705294,Sheep,0.469
3705298,Forestry,0.361
3705317,Beef and Sheep,0
3705329,Beef and Sheep,0.001
3705329,Dairy,10.387
3705329,Forestry,10.481
3705368,Sheep,0.072
3705372,Beef and Sheep,0.216
3705391,Forestry,0.028
3705406,Sheep,0.36
3705423,Forestry,7.428
3705470,Dairy,1.91
3705470,Forestry,0.101
3705501,Beef and Sheep,16.976
3705516,Beef and Sheep,0.003
3705605,Beef and Sheep,0.032
3705642,Beef and Sheep,0.121
3705655,Beef and Sheep,0.246
3705725,Dairy,24.531
3705725,Forestry,14.402
3705734,Beef and Sheep,30.813
3705734,Orchard,4.467
3705734,Sheep,0.252
3705752,Beef and Sheep,0.04
3705752,Dairy,0.267
3705770,Beef and Sheep,0.007
3705770,Dairy,9.686
3705815,Sheep,0
3705853,Beef and Sheep,0.088
3705856,Dairy,11.258
3705856,Forestry,0.019
3705878,Beef and Sheep,0.013
3706033,Sheep,0.238
3706035,Sheep,0.084
3706040,Beef and Sheep,0.007
3706040,Forestry,0.151
3706106,Beef and Sheep,2.701
3706114,Sheep,0.029
3706203,Sheep,0
3706243,Beef and Sheep,0.155
