"gate_source","gate_target","produce"
478,74,"Forestry"
478,84,"Forestry"
457,66,"Sheepmeat"
458,66,"Sheepmeat"
478,75,"Forestry"
478,80,"Forestry"
478,77,"Forestry"
478,69,"Forestry"
457,79,"Sheepmeat"
458,79,"Sheepmeat"
457,65,"Sheepmeat"
458,65,"Sheepmeat"
