"gate_source","gate_target","produce"
22134,66,"Sheepmeat"
21254,66,"Sheepmeat"
21658,66,"Sheepmeat"
21659,71,"Fruit"
21660,71,"Fruit"
21661,71,"Fruit"
21425,71,"Fruit"
21427,71,"Fruit"
21428,71,"Fruit"
21435,71,"Fruit"
21254,71,"Fruit"
21255,71,"Fruit"
21659,72,"Fruit"
21660,72,"Fruit"
21661,72,"Fruit"
21425,72,"Fruit"
21427,72,"Fruit"
21428,72,"Fruit"
21435,72,"Fruit"
21254,72,"Fruit"
21255,72,"Fruit"
21659,78,"Fruit"
21660,78,"Fruit"
21661,78,"Fruit"
21425,78,"Fruit"
21427,78,"Fruit"
21428,78,"Fruit"
21435,78,"Fruit"
21254,78,"Fruit"
21255,78,"Fruit"
21659,70,"Fruit"
21660,70,"Fruit"
21428,70,"Fruit"
21435,70,"Fruit"
21254,70,"Fruit"
21255,70,"Fruit"
21659,73,"Fruit"
21660,73,"Fruit"
21428,73,"Fruit"
21435,73,"Fruit"
21254,73,"Fruit"
21255,73,"Fruit"
22134,79,"Sheepmeat"
21254,79,"Sheepmeat"
21658,79,"Sheepmeat"
22134,65,"Sheepmeat"
21254,65,"Sheepmeat"
21658,65,"Sheepmeat"
22134,82,"Beef"
21254,82,"Beef"
21658,82,"Beef"
21432,82,"Beef"
21435,82,"Beef"
22134,66,"Beef"
21254,66,"Beef"
21658,66,"Beef"
21432,66,"Beef"
21435,66,"Beef"
22134,65,"Beef"
21254,65,"Beef"
21657,65,"Beef"
21658,65,"Beef"
21429,65,"Beef"
21432,65,"Beef"
21435,65,"Beef"
21659,81,"Fruit"
21428,81,"Fruit"
21254,81,"Fruit"
21255,81,"Fruit"
21254,70,"Veges"
21254,67,"Veges"
21254,76,"Veges"
21254,68,"Veges"
22134,82,"Sheepmeat"
21254,82,"Sheepmeat"
21658,82,"Sheepmeat"
21432,82,"Sheepmeat"
21435,82,"Sheepmeat"
22134,66,"Sheepmeat"
21254,66,"Sheepmeat"
21658,66,"Sheepmeat"
21432,66,"Sheepmeat"
21435,66,"Sheepmeat"
22134,65,"Sheepmeat"
21254,65,"Sheepmeat"
21657,65,"Sheepmeat"
21658,65,"Sheepmeat"
21429,65,"Sheepmeat"
21432,65,"Sheepmeat"
21435,65,"Sheepmeat"
