"gate_source","gate_target","produce"
6361,74,"Forestry"
6361,84,"Forestry"
6361,66,"Sheepmeat"
26994,66,"Sheepmeat"
6362,66,"Sheepmeat"
6363,66,"Sheepmeat"
6366,66,"Sheepmeat"
6385,66,"Sheepmeat"
8483,66,"Sheepmeat"
8484,66,"Sheepmeat"
8485,66,"Sheepmeat"
8600,66,"Sheepmeat"
8602,66,"Sheepmeat"
8604,66,"Sheepmeat"
8605,66,"Sheepmeat"
6365,66,"Sheepmeat"
6386,66,"Sheepmeat"
6397,66,"Sheepmeat"
6361,75,"Forestry"
6361,80,"Forestry"
6361,77,"Forestry"
6361,69,"Forestry"
6361,79,"Sheepmeat"
26994,79,"Sheepmeat"
6362,79,"Sheepmeat"
6363,79,"Sheepmeat"
6366,79,"Sheepmeat"
6385,79,"Sheepmeat"
8483,79,"Sheepmeat"
8484,79,"Sheepmeat"
8485,79,"Sheepmeat"
8600,79,"Sheepmeat"
8602,79,"Sheepmeat"
8604,79,"Sheepmeat"
8605,79,"Sheepmeat"
6365,79,"Sheepmeat"
6386,79,"Sheepmeat"
6397,79,"Sheepmeat"
6361,65,"Sheepmeat"
26994,65,"Sheepmeat"
6362,65,"Sheepmeat"
6363,65,"Sheepmeat"
6366,65,"Sheepmeat"
6385,65,"Sheepmeat"
8483,65,"Sheepmeat"
8484,65,"Sheepmeat"
8485,65,"Sheepmeat"
8600,65,"Sheepmeat"
8602,65,"Sheepmeat"
8604,65,"Sheepmeat"
8605,65,"Sheepmeat"
6365,65,"Sheepmeat"
6386,65,"Sheepmeat"
6397,65,"Sheepmeat"
8483,82,"Beef"
8484,82,"Beef"
8485,82,"Beef"
8600,82,"Beef"
8602,82,"Beef"
8604,82,"Beef"
8605,82,"Beef"
6361,82,"Beef"
6365,82,"Beef"
6366,82,"Beef"
6386,82,"Beef"
6397,82,"Beef"
8483,66,"Beef"
8484,66,"Beef"
8485,66,"Beef"
8600,66,"Beef"
8602,66,"Beef"
8604,66,"Beef"
8605,66,"Beef"
6361,66,"Beef"
6365,66,"Beef"
6366,66,"Beef"
6386,66,"Beef"
6397,66,"Beef"
8483,65,"Beef"
8484,65,"Beef"
8485,65,"Beef"
8600,65,"Beef"
8602,65,"Beef"
8604,65,"Beef"
8605,65,"Beef"
6361,65,"Beef"
6365,65,"Beef"
6366,65,"Beef"
6386,65,"Beef"
6397,65,"Beef"
