"gate_source","gate_target","produce"
16464,66,"Sheepmeat"
16455,66,"Sheepmeat"
16456,66,"Sheepmeat"
16476,66,"Sheepmeat"
16455,69,"Forestry"
16464,79,"Sheepmeat"
16455,79,"Sheepmeat"
16456,79,"Sheepmeat"
16476,79,"Sheepmeat"
16457,79,"Sheepmeat"
16464,65,"Sheepmeat"
16455,65,"Sheepmeat"
16456,65,"Sheepmeat"
16476,65,"Sheepmeat"
16464,82,"Beef"
16476,82,"Beef"
16455,82,"Beef"
16456,82,"Beef"
16457,82,"Beef"
16464,66,"Beef"
16476,66,"Beef"
16455,66,"Beef"
16456,66,"Beef"
16457,66,"Beef"
16464,65,"Beef"
16476,65,"Beef"
16455,65,"Beef"
16456,65,"Beef"
16457,65,"Beef"
16455,70,"Veges"
16457,70,"Veges"
16464,70,"Veges"
16455,67,"Veges"
16457,67,"Veges"
16464,67,"Veges"
16455,76,"Veges"
16457,76,"Veges"
16464,76,"Veges"
16455,68,"Veges"
16457,68,"Veges"
16464,82,"Sheepmeat"
16455,82,"Sheepmeat"
16456,82,"Sheepmeat"
16476,82,"Sheepmeat"
16457,82,"Sheepmeat"
16464,66,"Sheepmeat"
16455,66,"Sheepmeat"
16456,66,"Sheepmeat"
16476,66,"Sheepmeat"
16457,66,"Sheepmeat"
16464,65,"Sheepmeat"
16455,65,"Sheepmeat"
16456,65,"Sheepmeat"
16476,65,"Sheepmeat"
16457,65,"Sheepmeat"
