"gate_source","gate_target","produce"
3866,74,"Forestry"
3878,74,"Forestry"
3879,74,"Forestry"
3866,84,"Forestry"
3878,84,"Forestry"
3879,84,"Forestry"
3879,66,"Sheepmeat"
3866,66,"Sheepmeat"
3878,66,"Sheepmeat"
3866,75,"Forestry"
3878,75,"Forestry"
3879,75,"Forestry"
3866,80,"Forestry"
3878,80,"Forestry"
3879,80,"Forestry"
3866,77,"Forestry"
3878,77,"Forestry"
3879,77,"Forestry"
3866,69,"Forestry"
3878,69,"Forestry"
3879,69,"Forestry"
3879,79,"Sheepmeat"
3866,79,"Sheepmeat"
3878,79,"Sheepmeat"
3879,65,"Sheepmeat"
3866,65,"Sheepmeat"
3878,65,"Sheepmeat"
3879,82,"Beef"
3866,82,"Beef"
3878,82,"Beef"
3879,66,"Beef"
3866,66,"Beef"
3878,66,"Beef"
3879,65,"Beef"
3866,65,"Beef"
3878,65,"Beef"
