"gate_source","gate_target","produce"
19115,74,"Forestry"
19320,74,"Forestry"
19321,74,"Forestry"
19322,74,"Forestry"
19323,74,"Forestry"
19326,74,"Forestry"
19115,84,"Forestry"
19320,84,"Forestry"
19321,84,"Forestry"
19322,84,"Forestry"
19323,84,"Forestry"
19326,84,"Forestry"
19642,66,"Sheepmeat"
19643,66,"Sheepmeat"
19644,66,"Sheepmeat"
13057,66,"Sheepmeat"
19115,66,"Sheepmeat"
19320,66,"Sheepmeat"
19321,66,"Sheepmeat"
19323,66,"Sheepmeat"
6064,66,"Sheepmeat"
6072,66,"Sheepmeat"
13053,66,"Sheepmeat"
13055,66,"Sheepmeat"
19640,66,"Sheepmeat"
19641,66,"Sheepmeat"
6068,66,"Sheepmeat"
6070,66,"Sheepmeat"
6079,66,"Sheepmeat"
6134,66,"Sheepmeat"
6135,66,"Sheepmeat"
19329,66,"Sheepmeat"
19428,66,"Sheepmeat"
19580,66,"Sheepmeat"
19115,75,"Forestry"
19320,75,"Forestry"
19321,75,"Forestry"
19322,75,"Forestry"
19323,75,"Forestry"
19326,75,"Forestry"
19115,80,"Forestry"
19320,80,"Forestry"
19321,80,"Forestry"
19322,80,"Forestry"
19323,80,"Forestry"
19326,80,"Forestry"
19115,77,"Forestry"
19320,77,"Forestry"
19321,77,"Forestry"
19322,77,"Forestry"
19323,77,"Forestry"
19326,77,"Forestry"
19115,69,"Forestry"
19320,69,"Forestry"
19321,69,"Forestry"
19322,69,"Forestry"
19323,69,"Forestry"
19326,69,"Forestry"
19642,79,"Sheepmeat"
19643,79,"Sheepmeat"
19644,79,"Sheepmeat"
13057,79,"Sheepmeat"
19115,79,"Sheepmeat"
19320,79,"Sheepmeat"
19321,79,"Sheepmeat"
19323,79,"Sheepmeat"
6064,79,"Sheepmeat"
6072,79,"Sheepmeat"
13053,79,"Sheepmeat"
13055,79,"Sheepmeat"
19640,79,"Sheepmeat"
19641,79,"Sheepmeat"
6068,79,"Sheepmeat"
6070,79,"Sheepmeat"
6079,79,"Sheepmeat"
6134,79,"Sheepmeat"
6135,79,"Sheepmeat"
19329,79,"Sheepmeat"
19428,79,"Sheepmeat"
19580,79,"Sheepmeat"
19642,65,"Sheepmeat"
19643,65,"Sheepmeat"
19644,65,"Sheepmeat"
13057,65,"Sheepmeat"
19115,65,"Sheepmeat"
19320,65,"Sheepmeat"
19321,65,"Sheepmeat"
19323,65,"Sheepmeat"
6064,65,"Sheepmeat"
6072,65,"Sheepmeat"
13053,65,"Sheepmeat"
13055,65,"Sheepmeat"
19640,65,"Sheepmeat"
19641,65,"Sheepmeat"
6068,65,"Sheepmeat"
6070,65,"Sheepmeat"
6079,65,"Sheepmeat"
6134,65,"Sheepmeat"
6135,65,"Sheepmeat"
19329,65,"Sheepmeat"
19428,65,"Sheepmeat"
19580,65,"Sheepmeat"
19642,82,"Beef"
19643,82,"Beef"
19644,82,"Beef"
13053,82,"Beef"
13055,82,"Beef"
13057,82,"Beef"
19640,82,"Beef"
19641,82,"Beef"
6064,82,"Beef"
6068,82,"Beef"
6070,82,"Beef"
6079,82,"Beef"
6134,82,"Beef"
6135,82,"Beef"
19320,82,"Beef"
19329,82,"Beef"
19428,82,"Beef"
19580,82,"Beef"
19642,66,"Beef"
19643,66,"Beef"
19644,66,"Beef"
13053,66,"Beef"
13055,66,"Beef"
13057,66,"Beef"
19640,66,"Beef"
19641,66,"Beef"
6064,66,"Beef"
6068,66,"Beef"
6070,66,"Beef"
6079,66,"Beef"
6134,66,"Beef"
6135,66,"Beef"
19320,66,"Beef"
19329,66,"Beef"
19428,66,"Beef"
19580,66,"Beef"
19642,65,"Beef"
19643,65,"Beef"
19644,65,"Beef"
13053,65,"Beef"
13055,65,"Beef"
13057,65,"Beef"
19640,65,"Beef"
19641,65,"Beef"
6064,65,"Beef"
6068,65,"Beef"
6070,65,"Beef"
6079,65,"Beef"
6134,65,"Beef"
6135,65,"Beef"
19320,65,"Beef"
19329,65,"Beef"
19428,65,"Beef"
19580,65,"Beef"
