"gate_source","gate_target","produce"
3221,66,"Sheepmeat"
3219,66,"Sheepmeat"
3206,66,"Sheepmeat"
3221,77,"Forestry"
3221,69,"Forestry"
3220,69,"Forestry"
3221,79,"Sheepmeat"
3219,79,"Sheepmeat"
3206,79,"Sheepmeat"
3221,65,"Sheepmeat"
3219,65,"Sheepmeat"
3206,65,"Sheepmeat"
3221,82,"Beef"
3219,82,"Beef"
3206,82,"Beef"
3221,66,"Beef"
3219,66,"Beef"
3206,66,"Beef"
3214,65,"Beef"
3221,65,"Beef"
3219,65,"Beef"
3206,65,"Beef"
3221,82,"Sheepmeat"
3219,82,"Sheepmeat"
3206,82,"Sheepmeat"
3221,66,"Sheepmeat"
3219,66,"Sheepmeat"
3206,66,"Sheepmeat"
3214,65,"Sheepmeat"
3221,65,"Sheepmeat"
3219,65,"Sheepmeat"
3206,65,"Sheepmeat"
