"gate_source","gate_target","produce"
10972,66,"Sheepmeat"
10997,66,"Sheepmeat"
10999,66,"Sheepmeat"
10988,66,"Sheepmeat"
10993,66,"Sheepmeat"
10994,66,"Sheepmeat"
11003,66,"Sheepmeat"
10991,66,"Sheepmeat"
10972,69,"Forestry"
10972,79,"Sheepmeat"
10997,79,"Sheepmeat"
10999,79,"Sheepmeat"
10988,79,"Sheepmeat"
10993,79,"Sheepmeat"
10953,79,"Sheepmeat"
10994,79,"Sheepmeat"
11003,79,"Sheepmeat"
10991,79,"Sheepmeat"
10972,65,"Sheepmeat"
10997,65,"Sheepmeat"
10999,65,"Sheepmeat"
10988,65,"Sheepmeat"
10993,65,"Sheepmeat"
10994,65,"Sheepmeat"
11003,65,"Sheepmeat"
10991,65,"Sheepmeat"
10972,82,"Beef"
10997,82,"Beef"
10999,82,"Beef"
10988,82,"Beef"
10993,82,"Beef"
10953,82,"Beef"
10994,82,"Beef"
11003,82,"Beef"
10991,82,"Beef"
10972,66,"Beef"
10997,66,"Beef"
10999,66,"Beef"
10988,66,"Beef"
10993,66,"Beef"
10953,66,"Beef"
10994,66,"Beef"
11003,66,"Beef"
10991,66,"Beef"
10972,65,"Beef"
10997,65,"Beef"
10999,65,"Beef"
10988,65,"Beef"
10993,65,"Beef"
10953,65,"Beef"
10994,65,"Beef"
11003,65,"Beef"
10989,65,"Beef"
10990,65,"Beef"
10991,65,"Beef"
10972,82,"Sheepmeat"
10997,82,"Sheepmeat"
10999,82,"Sheepmeat"
10988,82,"Sheepmeat"
10993,82,"Sheepmeat"
10953,82,"Sheepmeat"
10994,82,"Sheepmeat"
11003,82,"Sheepmeat"
10991,82,"Sheepmeat"
10972,66,"Sheepmeat"
10997,66,"Sheepmeat"
10999,66,"Sheepmeat"
10988,66,"Sheepmeat"
10993,66,"Sheepmeat"
10953,66,"Sheepmeat"
10994,66,"Sheepmeat"
11003,66,"Sheepmeat"
10991,66,"Sheepmeat"
10972,65,"Sheepmeat"
10997,65,"Sheepmeat"
10999,65,"Sheepmeat"
10988,65,"Sheepmeat"
10993,65,"Sheepmeat"
10953,65,"Sheepmeat"
10994,65,"Sheepmeat"
11003,65,"Sheepmeat"
10989,65,"Sheepmeat"
10990,65,"Sheepmeat"
10991,65,"Sheepmeat"
