"gate_source","gate_target","produce"
17009,74,"Forestry"
17009,84,"Forestry"
17011,66,"Sheepmeat"
17009,66,"Sheepmeat"
17009,77,"Forestry"
17011,69,"Forestry"
17009,69,"Forestry"
15829,69,"Forestry"
17011,79,"Sheepmeat"
17009,79,"Sheepmeat"
17011,65,"Sheepmeat"
17009,65,"Sheepmeat"
17011,82,"Beef"
15828,82,"Beef"
17011,66,"Beef"
15828,66,"Beef"
17011,65,"Beef"
15828,65,"Beef"
17011,82,"Sheepmeat"
17009,82,"Sheepmeat"
15828,82,"Sheepmeat"
17011,66,"Sheepmeat"
17009,66,"Sheepmeat"
15828,66,"Sheepmeat"
17011,65,"Sheepmeat"
17009,65,"Sheepmeat"
15828,65,"Sheepmeat"
