"gate_source","gate_target","produce"
2903,74,"Forestry"
2908,74,"Forestry"
2903,84,"Forestry"
2908,84,"Forestry"
2875,66,"Sheepmeat"
2873,66,"Sheepmeat"
2903,66,"Sheepmeat"
2912,66,"Sheepmeat"
2915,66,"Sheepmeat"
2911,66,"Sheepmeat"
2903,75,"Forestry"
2903,80,"Forestry"
2903,77,"Forestry"
2908,77,"Forestry"
2903,69,"Forestry"
2908,69,"Forestry"
2910,69,"Forestry"
2875,79,"Sheepmeat"
2873,79,"Sheepmeat"
2903,79,"Sheepmeat"
2912,79,"Sheepmeat"
2915,79,"Sheepmeat"
2911,79,"Sheepmeat"
2875,65,"Sheepmeat"
2873,65,"Sheepmeat"
2903,65,"Sheepmeat"
2912,65,"Sheepmeat"
2915,65,"Sheepmeat"
2911,65,"Sheepmeat"
2875,82,"Beef"
2873,82,"Beef"
2912,82,"Beef"
2915,82,"Beef"
2911,82,"Beef"
2875,66,"Beef"
2873,66,"Beef"
2912,66,"Beef"
2915,66,"Beef"
2911,66,"Beef"
2875,65,"Beef"
2873,65,"Beef"
2912,65,"Beef"
2915,65,"Beef"
2910,65,"Beef"
2911,65,"Beef"
2875,82,"Sheepmeat"
2873,82,"Sheepmeat"
2903,82,"Sheepmeat"
2912,82,"Sheepmeat"
2915,82,"Sheepmeat"
2911,82,"Sheepmeat"
2910,82,"Sheepmeat"
2875,66,"Sheepmeat"
2873,66,"Sheepmeat"
2903,66,"Sheepmeat"
2912,66,"Sheepmeat"
2915,66,"Sheepmeat"
2911,66,"Sheepmeat"
2910,66,"Sheepmeat"
2875,65,"Sheepmeat"
2873,65,"Sheepmeat"
2903,65,"Sheepmeat"
2912,65,"Sheepmeat"
2915,65,"Sheepmeat"
2911,65,"Sheepmeat"
2908,65,"Sheepmeat"
2910,65,"Sheepmeat"
2902,65,"Sheepmeat"
