"gate_source","gate_target","produce"
4088,74,"Forestry"
4088,84,"Forestry"
5730,66,"Sheepmeat"
5681,66,"Sheepmeat"
5684,66,"Sheepmeat"
5685,66,"Sheepmeat"
5686,66,"Sheepmeat"
5687,66,"Sheepmeat"
5688,66,"Sheepmeat"
5691,66,"Sheepmeat"
5692,66,"Sheepmeat"
5693,66,"Sheepmeat"
5695,66,"Sheepmeat"
5735,66,"Sheepmeat"
4088,66,"Sheepmeat"
4147,66,"Sheepmeat"
4164,66,"Sheepmeat"
4170,66,"Sheepmeat"
5655,66,"Sheepmeat"
5656,66,"Sheepmeat"
5664,66,"Sheepmeat"
5666,66,"Sheepmeat"
5667,66,"Sheepmeat"
5670,66,"Sheepmeat"
5671,66,"Sheepmeat"
5672,66,"Sheepmeat"
5674,66,"Sheepmeat"
5682,66,"Sheepmeat"
5510,66,"Sheepmeat"
5511,66,"Sheepmeat"
5660,66,"Sheepmeat"
5677,66,"Sheepmeat"
5690,66,"Sheepmeat"
5732,66,"Sheepmeat"
4076,66,"Sheepmeat"
5650,66,"Sheepmeat"
5500,66,"Sheepmeat"
5252,66,"Sheepmeat"
5512,66,"Sheepmeat"
4144,66,"Sheepmeat"
4088,77,"Forestry"
4088,69,"Forestry"
5653,69,"Forestry"
5730,79,"Sheepmeat"
5681,79,"Sheepmeat"
5684,79,"Sheepmeat"
5685,79,"Sheepmeat"
5686,79,"Sheepmeat"
5687,79,"Sheepmeat"
5688,79,"Sheepmeat"
5691,79,"Sheepmeat"
5692,79,"Sheepmeat"
5693,79,"Sheepmeat"
5695,79,"Sheepmeat"
5735,79,"Sheepmeat"
4088,79,"Sheepmeat"
4147,79,"Sheepmeat"
4164,79,"Sheepmeat"
4170,79,"Sheepmeat"
5655,79,"Sheepmeat"
5656,79,"Sheepmeat"
5664,79,"Sheepmeat"
5666,79,"Sheepmeat"
5667,79,"Sheepmeat"
5670,79,"Sheepmeat"
5671,79,"Sheepmeat"
5672,79,"Sheepmeat"
5674,79,"Sheepmeat"
5682,79,"Sheepmeat"
5510,79,"Sheepmeat"
5511,79,"Sheepmeat"
5660,79,"Sheepmeat"
5661,79,"Sheepmeat"
5677,79,"Sheepmeat"
5690,79,"Sheepmeat"
5732,79,"Sheepmeat"
4076,79,"Sheepmeat"
5650,79,"Sheepmeat"
5500,79,"Sheepmeat"
5252,79,"Sheepmeat"
5512,79,"Sheepmeat"
4144,79,"Sheepmeat"
5730,65,"Sheepmeat"
5681,65,"Sheepmeat"
5684,65,"Sheepmeat"
