"gate_source","gate_target","produce"
10848,66,"Sheepmeat"
10854,66,"Sheepmeat"
10853,66,"Sheepmeat"
10857,66,"Sheepmeat"
11102,66,"Sheepmeat"
11103,66,"Sheepmeat"
10869,66,"Sheepmeat"
11122,66,"Sheepmeat"
10848,69,"Forestry"
10848,79,"Sheepmeat"
10854,79,"Sheepmeat"
10853,79,"Sheepmeat"
10857,79,"Sheepmeat"
11102,79,"Sheepmeat"
11103,79,"Sheepmeat"
10869,79,"Sheepmeat"
11122,79,"Sheepmeat"
10848,65,"Sheepmeat"
10854,65,"Sheepmeat"
10853,65,"Sheepmeat"
10857,65,"Sheepmeat"
11102,65,"Sheepmeat"
11103,65,"Sheepmeat"
10869,65,"Sheepmeat"
11122,65,"Sheepmeat"
10848,82,"Beef"
10854,82,"Beef"
10853,82,"Beef"
10857,82,"Beef"
11102,82,"Beef"
11103,82,"Beef"
10869,82,"Beef"
11122,82,"Beef"
10848,66,"Beef"
10854,66,"Beef"
10853,66,"Beef"
10857,66,"Beef"
11102,66,"Beef"
11103,66,"Beef"
10869,66,"Beef"
11122,66,"Beef"
10848,65,"Beef"
10854,65,"Beef"
10853,65,"Beef"
10855,65,"Beef"
10857,65,"Beef"
11102,65,"Beef"
11103,65,"Beef"
10869,65,"Beef"
11122,65,"Beef"
10848,82,"Sheepmeat"
10854,82,"Sheepmeat"
10853,82,"Sheepmeat"
10857,82,"Sheepmeat"
11102,82,"Sheepmeat"
11103,82,"Sheepmeat"
10869,82,"Sheepmeat"
11122,82,"Sheepmeat"
10848,66,"Sheepmeat"
10854,66,"Sheepmeat"
10853,66,"Sheepmeat"
10857,66,"Sheepmeat"
11102,66,"Sheepmeat"
11103,66,"Sheepmeat"
10869,66,"Sheepmeat"
11122,66,"Sheepmeat"
10848,65,"Sheepmeat"
10854,65,"Sheepmeat"
10853,65,"Sheepmeat"
10855,65,"Sheepmeat"
10857,65,"Sheepmeat"
11102,65,"Sheepmeat"
11103,65,"Sheepmeat"
10869,65,"Sheepmeat"
11122,65,"Sheepmeat"
