"edge_id","trip_group_id","produce","flow_value"
1174,25,"Veges",3740
1086,13,"Forestry",5053
1448,10,"Sheepmeat",33491
2593,3,"Beef",13044366
1814,4,"Beef",136755
1125,28,"Sheepmeat",8860778
2267,25,"Veges",60528
3046,15,"Forestry",3579982
1306,28,"Sheepmeat",701478
2968,10,"Sheepmeat",138771
2538,16,"Forestry",16031514
2840,5,"Beef",8405
3124,6,"Beef",178929
3085,8,"Sheepmeat",1905494
2754,12,"Forestry",69826
2929,14,"Forestry",164711
985,28,"Sheepmeat",123210
2039,8,"Sheepmeat",12059926
2930,24,"Veges",6083886
105,8,"Sheepmeat",25024
1324,29,"Sheepmeat",18626328
3077,28,"Sheepmeat",105667
2435,17,"Fruit",49780
3073,11,"Forestry",35441
2967,25,"Veges",766245
1997,11,"Forestry",34239
2594,28,"Sheepmeat",35854901
2388,2,"Beef",234458
2947,24,"Veges",1751349
1176,23,"Veges",179425
3062,8,"Sheepmeat",6195373
2378,10,"Sheepmeat",1316415
611,11,"Forestry",4683
2405,4,"Beef",1267570
2801,6,"Beef",8405
1563,16,"Forestry",5681
1900,4,"Beef",32224
1965,10,"Sheepmeat",342203
132,28,"Sheepmeat",154973
2771,13,"Forestry",57818
3086,3,"Beef",942858
1721,29,"Sheepmeat",141918
2780,3,"Beef",42729469
739,10,"Sheepmeat",4228
2382,15,"Forestry",468028
3140,20,"Fruit",13618
1748,21,"Fruit",27922
833,9,"Sheepmeat",7867047
1902,21,"Fruit",4323
922,15,"Forestry",50500
3095,27,"Sheepmeat",32480618
3026,23,"Veges",26257752
2297,26,"Veges",4987858
1813,14,"Forestry",3815
1873,29,"Sheepmeat",2022410
1235,29,"Sheepmeat",137281
2154,11,"Forestry",57121
3013,10,"Sheepmeat",1462
2071,29,"Sheepmeat",408755
2224,9,"Sheepmeat",139892
2921,6,"Beef",8405
2864,25,"Veges",29981486
2938,2,"Beef",428198
27,13,"Forestry",9958
1214,28,"Sheepmeat",8340622
1223,3,"Beef",5576
853,9,"Sheepmeat",20082
2824,9,"Sheepmeat",18627082
1816,10,"Sheepmeat",28569
1468,26,"Veges",724675
2966,29,"Sheepmeat",2438902
925,29,"Sheepmeat",9958
998,10,"Sheepmeat",1509518
1523,3,"Beef",6907
2966,4,"Beef",1286753
