"shape_id","x","y"
246,174.1271,-41.08403
247,174.12684,-41.08392
248,174.12658,-41.0838
249,174.12633,-41.08369
250,174.12607,-41.08358
251,174.1258,-41.08348
252,174.12551,-41.08347
253,174.12524,-41.08356
254,174.12499,-41.08368
255,174.12472,-41.08377
256,174.12443,-41.0838
257,174.12414,-41.08376
258,174.12409,-41.08356
259,174.12399,-41.08335
260,174.12382,-41.08316
261,174.1237,-41.08296
262,174.12357,-41.08276
263,174.12334,-41.08262
264,174.1231,-41.08249
265,174.12296,-41.08229
266,174.12275,-41.08213
267,174.12248,-41.08204
268,174.12221,-41.08194
269,174.12195,-41.08184
270,174.12166,-41.0818
271,174.12137,-41.08183
272,174.12111,-41.08173
273,174.12092,-41.08155
274,174.12074,-41.08137
275,174.12056,-41.08119
276,174.12035,-41.08105
277,174.12005,-41.08105
278,174.11976,-41.08106
279,174.11962,-41.08088
280,174.11962,-41.08065
281,174.11961,-41.08043
282,174.11965,-41.0802
283,174.11972,-41.07999
284,174.11972,-41.07976
285,174.11952,-41.07961
286,174.11925,-41.07952
287,174.11896,-41.07949
288,174.11866,-41.0795
289,174.11837,-41.07954
290,174.11808,-41.0796
291,174.11779,-41.07963
292,174.11749,-41.07962
293,174.1172,-41.07958
294,174.11692,-41.07951
295,174.11666,-41.0794
296,174.11644,-41.07925
297,174.11632,-41.07905
298,174.11649,-41.07887
299,174.11671,-41.07873
300,174.1169,-41.07855
301,174.11702,-41.07835
302,174.11709,-41.07813
303,174.11713,-41.07791
304,174.11716,-41.07768
305,174.11718,-41.07746
306,174.11721,-41.07723
307,174.11723,-41.07701
308,174.11729,-41.07679
309,174.11728,-41.07657
310,174.11716,-41.07637
311,174.11694,-41.07621
312,174.11672,-41.07606
313,174.11651,-41.0759
314,174.11653,-41.07574
315,174.11683,-41.07572
316,174.11712,-41.07571
317,174.11742,-41.07569
318,174.11772,-41.07567
319,174.11801,-41.07565
320,174.1183,-41.0756
321,174.11859,-41.07554
322,174.11887,-41.07546
323,174.11914,-41.07537
324,174.11935,-41.07522
325,174.1195,-41.07503
326,174.1195,-41.07481
327,174.11945,-41.07458
328,174.1194,-41.07436
329,174.11935,-41.07414
330,174.11954,-41.07399
331,174.11983,-41.07397
332,174.12006,-41.0741
333,174.12019,-41.0743
334,174.12031,-41.07451
335,174.12042,-41.07472
336,174.12056,-41.07492
337,174.12075,-41.07509
338,174.121,-41.0752
339,174.12129,-41.07518
340,174.12145,-41.075
341,174.12165,-41.07484
342,174.12194,-41.07483
343,174.1222,-41.07473
344,174.12238,-41.07455
345,174.12253,-41.07436
346,174.1228,-41.07428
347,174.12309,-41.07431
348,174.12339,-41.07429
349,174.12367,-41.07422
350,174.1239,-41.07408
351,174.12405,-41.07389
352,174.12421,-41.0737
353,174.12438,-41.07352
354,174.12453,-41.07333
355,174.12463,-41.07311
356,174.12467,-41.07289
357,174.12466,-41.07267
358,174.12457,-41.07245
359,174.12444,-41.07225
360,174.12429,-41.07206
361,174.12417,-41.07185
362,174.12404,-41.07165
363,174.12392,-41.07144
364,174.12379,-41.07124
365,174.12367,-41.07104
366,174.12354,-41.07083
367,174.12341,-41.07063
368,174.1232,-41.07048
369,174.12291,-41.07049
370,174.12264,-41.07058
371,174.12245,-41.07074
372,174.12226,-41.07092
373,174.12201,-41.07091
374,174.12193,-41.07069
375,174.12182,-41.07049
376,174.12168,-41.07029
377,174.12156,-41.07008
378,174.12144,-41.06988
379,174.12133,-41.06967
380,174.12131,-41.06944
381,174.12133,-41.06922
382,174.12121,-41.06902
383,174.12098,-41.06888
384,174.12074,-41.06874
385,174.12048,-41.06863
386,174.1202,-41.06859
387,174.11991,-41.06856
388,174.11984,-41.06835
389,174.12004,-41.06819
390,174.12029,-41.06807
391,174.12042,-41.06787
392,174.12052,-41.06766
393,174.1206,-41.06744
394,174.12051,-41.06724
395,174.1203,-41.06708
396,174.12007,-41.06694
397,174.11982,-41.06682
398,174.1196,-41.06666
399,174.11939,-41.06651
400,174.11917,-41.06636
401,174.11892,-41.06624
402,174.11863,-41.06619
403,174.11836,-41.0661
404,174.1181,-41.066
405,174.1178,-41.06601
406,174.11752,-41.06598
407,174.11725,-41.06589
408,174.11697,-41.06591
409,174.11669,-41.066
410,174.11641,-41.06602
411,174.11629,-41.06584
412,174.11639,-41.06563
413,174.11661,-41.06549
414,174.11688,-41.0654
415,174.11708,-41.06524
416,174.11717,-41.06503
417,174.11728,-41.06482
418,174.11734,-41.0646
419,174.11746,-41.0644
420,174.11767,-41.06426
421,174.11796,-41.06429
422,174.11809,-41.06414
423,174.11786,-41.064
424,174.11763,-41.06387
425,174.11744,-41.0637
426,174.11716,-41.06363
427,174.11687,-41.0636
428,174.11662,-41.06348
429,174.11636,-41.06337
430,174.11609,-41.06327
431,174.11581,-41.06322
432,174.11551,-41.06321
433,174.11529,-41.06308
434,174.1151,-41.06291
435,174.1149,-41.06274
436,174.11476,-41.06255
437,174.11469,-41.06233
438,174.11457,-41.06212
439,174.11444,-41.06192
440,174.11431,-41.06171
441,174.11414,-41.06153
442,174.11395,-41.06136
443,174.11376,-41.06118
444,174.11355,-41.06103
445,174.11331,-41.0609
446,174.11321,-41.0607
447,174.11319,-41.06047
448,174.11308,-41.06026
449,174.11294,-41.06007
450,174.11286,-41.05985
451,174.11262,-41.05973
452,174.11235,-41.05963
453,174.11212,-41.05949
454,174.11192,-41.05932
455,174.11172,-41.05916
456,174.1115,-41.059
457,174.11126,-41.05888
458,174.11104,-41.05873
459,174.1109,-41.05853
460,173.75072,-41.11715
461,173.75076,-41.11694
462,173.75086,-41.11675
463,173.75098,-41.11656
464,173.75106,-41.11635
465,173.75114,-41.11615
466,173.75123,-41.11595
467,173.75132,-41.11575
468,173.7514,-41.11555
469,173.7514,-41.11534
470,173.75138,-41.11512
471,173.75143,-41.11492
472,173.75158,-41.11474
473,173.75172,-41.11456
474,173.75186,-41.11438
475,173.75199,-41.11419
476,173.75209,-41.11399
477,173.75217,-41.11379
478,173.75225,-41.11359
479,173.75236,-41.11339
480,173.75256,-41.11324
481,173.75279,-41.11313
482,173.75303,-41.11302
483,173.75325,-41.11289
484,173.75345,-41.11274
485,173.75361,-41.11257
486,173.75374,-41.11238
487,173.75383,-41.11218
488,173.75397,-41.11201
489,173.75425,-41.11198
490,173.75451,-41.11191
491,173.75476,-41.11182
492,173.75498,-41.11169
493,173.75516,-41.11152
494,173.75523,-41.11132
495,173.75525,-41.11111
496,173.75529,-41.1109
497,173.75546,-41.11074
498,173.75569,-41.11082
499,173.75593,-41.11093
500,173.7562,-41.11097
501,173.75645,-41.11105
502,173.75668,-41.11117
503,173.75692,-41.11128
504,173.75716,-41.11139
505,173.75741,-41.11149
506,173.75768,-41.11154
507,173.75791,-41.11144
508,173.75817,-41.11138
509,173.75844,-41.11143
510,173.75871,-41.11141
511,173.75891,-41.11127
512,173.7591,-41.11111
513,173.75928,-41.11096
514,173.7595,-41.11082
515,173.75966,-41.11065
516,173.75979,-41.11046
517,173.75993,-41.11028
518,173.76007,-41.1101
519,173.76022,-41.10991
520,173.76033,-41.10972
521,173.76042,-41.10952
522,173.7605,-41.10932
523,173.76049,-41.10911
524,173.76044,-41.1089
525,173.76051,-41.1087
526,173.76065,-41.10851
527,173.76069,-41.10831
528,173.76053,-41.10814
529,173.76031,-41.10801
530,173.76003,-41.108
531,173.75976,-41.10798
532,173.75951,-41.10789
533,173.75933,-41.10774
534,173.75923,-41.10754
535,173.75899,-41.10745
536,173.75871,-41.10746
537,173.75852,-41.10733
538,173.75849,-41.10712
539,173.75848,-41.10691
540,173.75848,-41.1067
541,173.75848,-41.10649
542,173.75856,-41.10629
543,173.75878,-41.10617
544,173.75893,-41.10599
545,173.75897,-41.10578
546,173.75888,-41.10559
547,173.75869,-41.10543
548,173.75846,-41.10531
549,173.75819,-41.10533
550,173.75793,-41.1053
551,173.7579,-41.1051
552,173.75789,-41.10489
553,173.75782,-41.10469
554,173.75793,-41.1045
555,173.75805,-41.10431
556,173.75818,-41.10412
557,173.75831,-41.10393
558,173.75826,-41.10373
559,173.75807,-41.10358
560,173.75803,-41.10338
561,173.75806,-41.10317
562,173.75793,-41.10302
563,173.75768,-41.10309
564,173.75755,-41.10328
565,173.75745,-41.10348
566,173.75724,-41.10361
567,173.75705,-41.10377
568,173.7568,-41.10386
569,173.75653,-41.10387
570,173.75625,-41.10383
571,173.75598,-41.10387
572,173.75573,-41.10396
573,173.75547,-41.10404
574,173.75522,-41.10414
575,173.75504,-41.1043
576,173.75495,-41.10449
577,173.75471,-41.10454
578,173.75445,-41.10448
579,173.75417,-41.10451
580,173.7539,-41.10453
581,173.75362,-41.1045
582,173.75335,-41.10452
583,173.75308,-41.10459
584,173.75282,-41.10466
585,173.75257,-41.10474
586,173.75229,-41.10471
587,173.75201,-41.10471
588,173.75174,-41.10473
589,173.75157,-41.10457
590,173.7513,-41.10455
591,173.75105,-41.10462
592,173.75077,-41.10459
593,173.75054,-41.1047
594,173.75027,-41.10476
595,173.7501,-41.10492
596,173.74988,-41.10492
597,173.74978,-41.10472
598,173.74968,-41.10453
599,173.74958,-41.10433
600,173.74951,-41.10413
601,173.7495,-41.10391
602,173.74937,-41.10374
603,173.7491,-41.10368
604,173.74882,-41.10369
605,173.74855,-41.10365
606,173.74839,-41.10348
607,173.74823,-41.10332
608,173.74796,-41.10329
609,173.74769,-41.10325
610,173.74752,-41.10308
611,173.74737,-41.1029
612,173.74722,-41.10272
613,173.74709,-41.10254
614,173.74697,-41.10235
615,173.74683,-41.10216
616,173.74669,-41.10198
617,173.74657,-41.10179
618,173.7464,-41.10162
619,173.74621,-41.10146
620,173.74611,-41.10127
621,173.74603,-41.10106
