"point_id","x","y"
32855,173.840509,-40.884936
32856,173.840287,-40.884993
32857,173.840051,-40.884977
32858,173.839819,-40.885007
32859,173.839594,-40.885065
32860,173.839361,-40.885048
32861,173.839128,-40.885029
32862,173.838892,-40.88504
32863,173.838683,-40.884968
32864,173.838462,-40.884943
32865,173.838241,-40.885006
32866,173.838034,-40.885094
32867,173.837824,-40.885177
32868,173.837613,-40.88526
32869,173.837398,-40.885336
32870,173.83717,-40.885334
32871,173.836959,-40.885252
32872,173.836734,-40.885202
32873,173.836521,-40.885266
32874,173.836358,-40.885396
32875,173.836171,-40.885505
32876,173.835968,-40.885598
32877,173.835755,-40.885677
32878,173.835541,-40.885756
32879,173.835333,-40.885842
32880,173.83512,-40.885921
32881,173.834899,-40.885986
32882,173.834694,-40.886073
32883,173.834597,-40.886235
32884,173.834567,-40.886414
32885,173.834535,-40.886592
32886,173.834523,-40.886771
32887,173.83453,-40.886951
32888,173.834541,-40.887131
32889,173.834542,-40.887311
32890,173.834527,-40.887491
32891,173.834498,-40.887669
32892,173.834378,-40.887823
32893,173.834232,-40.887965
32894,173.834166,-40.888135
32895,173.834012,-40.888251
32896,173.83378,-40.888285
32897,173.833569,-40.888366
32898,173.833398,-40.888489
32899,173.833271,-40.888641
32900,173.83307,-40.88873
32901,173.832838,-40.888765
32902,173.832602,-40.888783
32903,173.832367,-40.888803
32904,173.832133,-40.888833
32905,173.8319,-40.888867
32906,173.83167,-40.888909
32907,173.831444,-40.888966
32908,173.831214,-40.889009
32909,173.830978,-40.889022
32910,173.830743,-40.889005
32911,173.830511,-40.888965
32912,173.830278,-40.888931
32913,173.830046,-40.888944
32914,173.829868,-40.88906
32915,173.829732,-40.889207
32916,173.82958,-40.889344
32917,173.829408,-40.889469
32918,173.82924,-40.889596
32919,173.829128,-40.889755
32920,173.829032,-40.889919
32921,173.828926,-40.890079
32922,173.828769,-40.890009
32923,173.828804,-40.889832
32924,173.828782,-40.889653
32925,173.828773,-40.889474
32926,173.828766,-40.889311
32927,173.828645,-40.889427
32928,173.828596,-40.889602
32929,173.828502,-40.889768
32930,173.828378,-40.889915
32931,173.82819,-40.890024
32932,173.827993,-40.890118
32933,173.827887,-40.890279
32934,173.827798,-40.890446
32935,173.827701,-40.89061
32936,173.827567,-40.890757
32937,173.827409,-40.89089
32938,173.827269,-40.891036
32939,173.827075,-40.89111
32940,173.826898,-40.890994
32941,173.826753,-40.890852
32942,173.826621,-40.890702
32943,173.826464,-40.890568
32944,173.82625,-40.890503
32945,173.826017,-40.89053
32946,173.825785,-40.890567
32947,173.825554,-40.890606
32948,173.825327,-40.890658
32949,173.825108,-40.890727
32950,173.824898,-40.890811
32951,173.824692,-40.8909
32952,173.824475,-40.890972
32953,173.824263,-40.891052
32954,173.824067,-40.891153
32955,173.82388,-40.891264
32956,173.823698,-40.89138
32957,173.823528,-40.891505
32958,173.823405,-40.891659
48633,173.919407,-41.275063
48885,173.96331,-41.27422
48886,173.963482,-41.274316
48887,173.963654,-41.274411
48888,173.963826,-41.274507
48889,173.963998,-41.274603
48890,173.96417,-41.274698
48891,173.964342,-41.274794
48892,173.964516,-41.274887
48893,173.964693,-41.274978
48894,173.96488,-41.275054
48895,173.96508,-41.275112
48896,173.965285,-41.275154
49277,173.99208,-41.2814
49278,173.992259,-41.281584
49279,173.992238,-41.281808
49280,173.992212,-41.282032
49281,173.992336,-41.282241
49282,173.992466,-41.282448
49283,173.992603,-41.282653
49284,173.992801,-41.282825
49285,173.993082,-41.282906
49286,173.993382,-41.282946
49287,173.993671,-41.283015
49288,173.993882,-41.283177
49289,173.994037,-41.283374
49290,173.994206,-41.283564
49291,173.994477,-41.283658
49292,173.994774,-41.283616
49293,173.995034,-41.283499
49294,173.995275,-41.28336
49295,173.995514,-41.283217
49296,173.995754,-41.283076
49297,173.995995,-41.282936
49405,173.999531,-41.289658
49406,173.999593,-41.289838
49407,173.999689,-41.290009
49408,173.999827,-41.290163
49409,173.999985,-41.290305
49410,174.000155,-41.29044
48743,173.941571,-41.27056
48744,173.941796,-41.270462
48745,173.942012,-41.270352
48746,173.942228,-41.270242
48747,173.942443,-41.270132
48748,173.942649,-41.270012
48749,173.942838,-41.269876
48750,173.943,-41.269723
48751,173.943141,-41.269558
48752,173.943279,-41.269391
48753,173.943419,-41.269226
48754,173.943562,-41.269062
48755,173.943705,-41.268898
48756,173.943904,-41.268778
48757,173.944161,-41.268762
48758,173.944421,-41.268775
48759,173.944677,-41.268742
48760,173.944907,-41.268653
48761,173.945116,-41.268536
48762,173.94533,-41.268425
48763,173.945569,-41.268356
48764,173.945787,-41.268442
48765,173.945968,-41.268583
48766,173.946176,-41.2687
48767,173.946405,-41.268793
48768,173.946639,-41.268879
48769,173.946875,-41.268963
48770,173.947125,-41.269013
48771,173.947383,-41.268995
48772,173.94764,-41.268967
48773,173.947866,-41.269054
48774,173.947961,-41.269232
48775,173.947968,-41.269429
48776,173.94798,-41.269625
48777,173.948002,-41.26982
48778,173.948064,-41.27001
48779,173.948218,-41.270165
48780,173.948461,-41.270231
48781,173.948717,-41.270203
48782,173.948966,-41.270147
48783,173.949214,-41.270085
48784,173.949461,-41.270024
48785,173.949706,-41.269958
48786,173.949951,-41.26989
48787,173.950206,-41.269872
48788,173.950453,-41.269932
48789,173.950695,-41.270005
48790,173.950931,-41.270085
48791,173.951094,-41.270233
48792,173.951171,-41.27042
48793,173.951232,-41.270611
48794,173.951316,-41.270796
48795,173.951532,-41.270875
48796,173.95179,-41.270865
48797,173.95204,-41.270916
48798,173.952235,-41.270802
48799,173.952279,-41.270609
48800,173.952286,-41.270413
48801,173.952314,-41.270218
48802,173.952366,-41.270026
48803,173.952384,-41.26983
48804,173.952497,-41.269657
48805,173.952697,-41.269533
48806,173.952867,-41.269387
48807,173.952986,-41.269213
48808,173.953104,-41.269037
48809,173.953292,-41.26892
48810,173.953521,-41.268996
48811,173.953657,-41.269163
48812,173.953828,-41.269308
48813,173.954075,-41.269298
48814,173.954266,-41.269166
48815,173.95437,-41.26899
48816,173.954482,-41.268823
48817,173.954738,-41.268811
48818,173.954996,-41.26884
48819,173.955254,-41.268848
48820,173.955425,-41.268712
48821,173.955608,-41.268574
48822,173.955747,-41.26841
48823,173.955966,-41.268329
48824,173.956216,-41.268382
48825,173.956473,-41.268379
48826,173.956715,-41.268307
48827,173.956952,-41.268349
48828,173.957037,-41.268532
48829,173.95707,-41.268727
48830,173.957123,-41.268919
48831,173.957231,-41.269097
48832,173.957353,-41.269271
48833,173.957503,-41.26943
48834,173.95768,-41.269574
48835,173.957851,-41.269722
48836,173.957995,-41.269886
48837,173.958048,-41.270077
48838,173.958086,-41.270272
48839,173.958213,-41.270439
48840,173.958415,-41.270562
48841,173.958502,-41.270738
48842,173.958492,-41.270934
48843,173.958638,-41.271093
48844,173.958753,-41.271263
48845,173.958622,-41.271422
48846,173.958398,-41.271522
48847,173.958184,-41.271633
48848,173.958014,-41.271781
48849,173.957809,-41.271902
48850,173.957637,-41.272044
48851,173.957692,-41.272223
48852,173.957914,-41.272324
48853,173.958076,-41.272463
48854,173.957984,-41.27264
48855,173.957805,-41.272782
48856,173.957673,-41.272947
48857,173.957719,-41.273138
48858,173.957889,-41.273283
48859,173.958115,-41.27338
48860,173.958354,-41.27346
48861,173.958593,-41.273537
48862,173.958837,-41.273605
48863,173.959092,-41.273603
48864,173.959306,-41.273494
48865,173.959499,-41.273363
48866,173.959744,-41.273302
48867,173.959989,-41.273351
48868,173.960141,-41.273508
48869,173.960275,-41.273675
48870,173.960505,-41.273753
48871,173.960738,-41.273673
48872,173.960958,-41.27357
48873,173.961216,-41.273549
