"month_end","cost_group","activity","fault","place_ranking","movement_ranking","onf_desc","zone","cost","id"
2009-10-01,"VG","VEGETATION","CHEMCNTRL","P5","M5","Rural Roads","Kenepuru",0.4,1
2017-12-01,"VG","VEGETATION","GRASSMOW","P5","M5","Rural Roads","Kenepuru",254.06,2
2019-01-01,"VG","VEGETATION","GRASSMOW","P5","M5","Rural Roads","Kenepuru",240,3
2019-12-01,"VG","VEGETATION","GRASSMOW","P5","M5","Rural Roads","Kenepuru",298.08,4
2010-06-01,"PA","UNSEALED","AGGLOSS","P5","M5","Rural Roads","Kenepuru",2000,5
2010-10-01,"VG","VEGETATION","CHEMCNTRL","P5","M5","Rural Roads","Kenepuru",425.2,6
2010-11-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",127.56,7
2011-08-01,"VG","VEGETATION","CHEMCNTRL","P5","M5","Rural Roads","Kenepuru",425.2,8
2011-09-01,"PA","UNSEALED","AGGLOSS","P5","M5","Rural Roads","Kenepuru",450,9
2012-05-01,"PA","UNSEALED","AGGLOSS","P5","M5","Rural Roads","Kenepuru",1150,10
2012-11-01,"VG","VEGETATION","CHEMCNTRL","P5","M5","Rural Roads","Kenepuru",425.2,11
2013-05-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",127.56,12
2013-08-01,"VG","VEGETATION","CHEMCNTRL","P5","M5","Rural Roads","Kenepuru",2657.8,13
2014-07-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",467.72,14
2015-11-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",159.45,15
2017-11-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",159.45,16
2019-02-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",159.45,17
2020-06-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",340.16,18
2021-03-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",442.88,19
2022-05-01,"VG","VEGETATION","VEGCNTRL4","P5","M5","Rural Roads","Kenepuru",63.78,20
2022-08-01,"PA","UNSEALED","SHAPE","P5","M5","Rural Roads","Kenepuru",170.08,21
2022-12-01,"VG","VEGETATION","VEGCNTRL4","P5","M5","Rural Roads","Kenepuru",63.78,22
2023-11-01,"VG","VEGETATION","VEGCNTRL4","P5","M5","Rural Roads","Kenepuru",63.78,23
2023-04-01,"PA","UNSEALED","CORRUG","P5","M5","Rural Roads","Kenepuru",400.61,24
2020-06-01,"TF","CMPMAINT","NONFUNCT","P5","M5","Rural Roads","Kenepuru",20,25
2020-06-01,"TF","CMPMAINT","NONFUNCT","P5","M5","Rural Roads","Kenepuru",20,26
2020-06-01,"TF","EDGEPOST","NONFUNCT","P5","M5","Rural Roads","Kenepuru",20,27
2016-11-01,"EN","EMERGENCY","SLIP","P5","M5","Rural Roads","Kenepuru",250,28
2014-03-01,"TF","MARKING","PAINT","P5","M3","Rural Connectors","Queen Charlotte",1899.43,29
2014-10-01,"EN","ENVCLEAN","DEBRIS","P5","M3","Rural Connectors","Queen Charlotte",50,30
2015-02-01,"SH","SHLDMAINT","SCOUR","P5","M3","Rural Connectors","Queen Charlotte",1587.37,31
2016-01-01,"EN","ENVCLEAN","DEBRIS","P5","M3","Rural Connectors","Queen Charlotte",687.5,32
2016-07-01,"BR","BRIDGE","DECKREP","P5","M3","Rural Connectors","Queen Charlotte",594.05,33
2016-08-01,"DR","SWCIMP","UNKNOWN","P5","M3","Rural Connectors","Queen Charlotte",5291.19,34
2016-08-01,"MA","INSPECT","ROUTINE","P5","M3","Rural Connectors","Queen Charlotte",6002.37,35
2010-11-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,36
2010-11-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,37
2011-01-01,"EN","EMERGENCY","SLIP","P4","M4","Local Streets","Queen Charlotte",5516.82,38
2011-01-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",10287.47,39
2011-01-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",1112,40
2011-01-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",2073.6,41
2011-02-01,"EN","EMERGENCY","SLIP","P4","M4","Local Streets","Queen Charlotte",598.55,42
2011-02-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",1116.15,43
2011-02-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",556,44
2011-02-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",1036.8,45
2011-03-01,"EN","EMERGENCY","SLIP","P4","M4","Local Streets","Queen Charlotte",669.22,46
2011-03-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",1247.92,47
2011-03-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,48
2011-03-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,49
2011-04-01,"EN","EMERGENCY","SLIP","P4","M4","Local Streets","Queen Charlotte",499.02,50
2011-04-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",930.54,51
2011-05-01,"EN","EMERGENCY","SLIP","P4","M4","Local Streets","Queen Charlotte",1389.74,52
2011-05-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",2591.51,53
2011-06-01,"EN","EMERGENCY","SLIP","P4","M4","Local Streets","Queen Charlotte",2913.87,54
2011-06-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",5433.63,55
2011-07-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",556,56
2011-07-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",1036.8,57
2011-07-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,58
2011-07-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,59
2011-11-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,60
2011-11-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,61
2011-12-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",556,62
2011-12-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",1036.8,63
2012-01-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",1112,64
2012-01-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",2073.6,65
2012-05-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",556,66
2012-05-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",1036.8,67
2012-05-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,68
2012-05-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,69
2012-09-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,70
2012-09-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,71
2012-11-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",556,72
2012-11-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",1036.8,73
2012-11-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,74
2012-11-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,75
2012-12-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,76
2012-12-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,77
2013-02-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,78
2013-02-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,79
2013-03-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",556,80
2013-03-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",1036.8,81
2013-03-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,82
2013-03-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,83
2013-05-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",556,84
2013-05-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1036.8,85
2013-06-01,"EN","EMERGENCY","FLOOD","P4","M4","Local Streets","Queen Charlotte",1359.5,86
2013-06-01,"EN","EMERGENCY","FLOOD","P5","M3","Rural Connectors","Queen Charlotte",2535.11,87
2013-06-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",346.49,88
2013-06-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",646.13,89
2013-07-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",3959.02,90
2013-07-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",7382.58,91
2014-01-01,"VG","VEGETATION","CHEMCNTRL","P4","M4","Local Streets","Queen Charlotte",2754.3,92
2014-01-01,"VG","VEGETATION","CHEMCNTRL","P5","M3","Rural Connectors","Queen Charlotte",5136.1,93
2014-06-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",3502.58,94
2014-06-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",6531.42,95
2015-11-01,"VG","VEGETATION","GRASSMOW","P4","M4","Local Streets","Queen Charlotte",695,96
2015-11-01,"VG","VEGETATION","GRASSMOW","P5","M3","Rural Connectors","Queen Charlotte",1296,97
2021-03-01,"VG","VEGETATION","VEGCNTRL5","P4","M4","Local Streets","Queen Charlotte",41.7,98
2021-03-01,"VG","VEGETATION","VEGCNTRL5","P5","M3","Rural Connectors","Queen Charlotte",77.76,99
2021-04-01,"VG","VEGETATION","VEGCNTRL3","P4","M4","Local Streets","Queen Charlotte",4170,100
2021-04-01,"VG","VEGETATION","VEGCNTRL3","P5","M3","Rural Connectors","Queen Charlotte",7776,101
2023-07-01,"TF","MARKING","NONFUNCT","P4","M4","Local Streets","Queen Charlotte",597.7,102
2023-07-01,"TF","MARKING","NONFUNCT","P5","M3","Rural Connectors","Queen Charlotte",1114.56,103
2020-07-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",15,104
2020-07-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",120,105
2021-12-01,"TF","SIGNMAINT","ILLEGIBLE","P5","M3","Rural Connectors","Queen Charlotte",180,106
2021-03-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",2.5,107
2015-08-01,"TF","SIGNALS","UNKNOWN","P5","M3","Rural Connectors","Queen Charlotte",90,108
2020-07-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",30,109
2023-12-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",101,110
2012-01-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",120,111
2022-12-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",100,112
2014-05-01,"TF","SIGNMAINT","UPGRADE","P5","M3","Rural Connectors","Queen Charlotte",2452.53,113
2014-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,114
2014-10-01,"PA","LEVEL","UNEVEN","P5","M3","Rural Connectors","Queen Charlotte",800,115
2019-11-01,"PA","STAB","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",2400,116
2018-05-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,117
2010-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,118
2010-03-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,119
2012-04-01,"PA","DIGOUTS","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",2760,120
2016-11-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",32,121
2011-09-01,"PA","STAB","SHEAR","P5","M3","Rural Connectors","Queen Charlotte",1440,122
2016-11-01,"SU","SURFREP","ALLIGCRK","P5","M3","Rural Connectors","Queen Charlotte",196,123
2011-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",60,124
2019-11-01,"PA","STAB","SHEAR","P5","M3","Rural Connectors","Queen Charlotte",10080,125
2019-08-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",132,126
2017-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",66,127
2016-11-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",99,128
2014-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,129
2014-12-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,130
2016-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,131
2017-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",66,132
2011-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,133
2014-10-01,"PA","LEVEL","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",72,134
2010-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,135
2016-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,136
2016-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,137
2020-01-01,"PA","STAB","SHEAR","P5","M3","Rural Connectors","Queen Charlotte",720,138
2011-03-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",255,139
2016-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,140
2017-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,141
2019-11-01,"PA","STAB","FATIGCK","P5","M3","Rural Connectors","Queen Charlotte",4320,142
2012-04-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,143
2010-02-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,144
2010-03-01,"PA","LEVEL","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",232,145
2021-01-01,"EN","EMERGENCY","TREEFALL","P5","M3","Rural Connectors","Queen Charlotte",250,146
2010-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,147
2023-03-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",0.1,148
2020-10-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,149
2020-01-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",90,150
2020-06-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,151
2020-10-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,152
2018-04-01,"TF","SIGNMAINT","UPGRADE","P5","M3","Rural Connectors","Queen Charlotte",1071.05,153
2021-09-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",101,154
2021-12-01,"DR","SWCMAINT","INAD","P5","M3","Rural Connectors","Queen Charlotte",3500,155
2014-07-01,"PA","LEVEL","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",480,156
2017-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,157
2019-11-01,"PA","STAB","FATIGCK","P5","M3","Rural Connectors","Queen Charlotte",3120,158
2017-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",132,159
2023-03-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",0.1,160
2017-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",165,161
2019-11-01,"PA","STAB","FATIGCK","P5","M3","Rural Connectors","Queen Charlotte",8288,162
2021-09-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",125,163
2023-03-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",0.1,164
2019-11-01,"PA","STAB","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",1760,165
2018-02-01,"BR","BRIDGE","DEBRIS","P5","M3","Rural Connectors","Queen Charlotte",500,166
2012-10-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",5,167
2012-11-01,"EN","EMERGENCY","TREEFALL","P5","M3","Rural Connectors","Queen Charlotte",215,168
2022-06-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",10,169
2018-04-01,"TF","SIGNALS","UNKNOWN","P5","M3","Rural Connectors","Queen Charlotte",792.82,170
2018-04-01,"TF","SIGNALS","UPGRADE","P5","M3","Rural Connectors","Queen Charlotte",312.5,171
2020-07-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",10,172
2019-11-01,"PA","STAB","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",1200,173
2019-11-01,"PA","STAB","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",3120,174
2017-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",132,175
2017-02-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",24,176
2017-02-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",66,177
2017-02-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,178
2017-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,179
2011-03-01,"PA","LEVEL","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",576,180
2014-11-01,"EN","EMERGENCY","TREEFALL","P5","M3","Rural Connectors","Queen Charlotte",50,181
2022-05-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",180,182
2020-07-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",60,183
2017-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,184
2017-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,185
2019-11-01,"PA","STAB","FATIGCK","P5","M3","Rural Connectors","Queen Charlotte",3120,186
2010-10-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,187
2014-05-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",66,188
2014-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,189
2016-06-01,"TF","SIGNMAINT","MISSING","P5","M3","Rural Connectors","Queen Charlotte",210,190
2015-08-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,191
2021-03-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",90,192
2020-07-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",60,193
2022-03-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",2.5,194
2020-06-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",0.1,195
2011-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",90,196
2022-05-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",90,197
2014-05-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,198
2014-02-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,199
2020-06-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,200
2017-06-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,201
2020-06-01,"TF","EDGEPOST","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",5,202
2022-05-01,"TF","EDGEPOST","NONFUNCT","P5","M3","Rural Connectors","Queen Charlotte",35,203
2013-01-01,"PA","LEVEL","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",80,204
2020-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",40,205
2021-05-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",36,206
2021-09-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",36,207
2022-05-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",0.1,208
2021-03-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",180,209
2022-05-01,"TF","SIGNMAINT","ILLEGIBLE","P5","M3","Rural Connectors","Queen Charlotte",180,210
2016-07-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",160,211
2020-08-01,"TF","EDGEPOST","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",5,212
2021-03-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",90,213
2022-05-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",180,214
2020-08-01,"TF","EDGEPOST","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",5,215
2021-03-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",90,216
2021-05-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",101,217
2022-05-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",2.5,218
2019-09-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",100,219
2016-06-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",110,220
2017-10-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,221
2017-01-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,222
2020-09-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,223
2021-07-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",90,224
2020-06-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,225
2020-10-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,226
2014-12-01,"TF","SIGNMAINT","REPLACE","P5","M3","Rural Connectors","Queen Charlotte",210,227
2020-12-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,228
2020-10-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,229
2021-07-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",101,230
2020-11-01,"TF","SIGNMAINT","REALIGN","P5","M3","Rural Connectors","Queen Charlotte",100,231
2022-04-01,"TF","EDGEPOST","NONFUNCT","P5","M3","Rural Connectors","Queen Charlotte",70,232
2018-03-01,"BR","BRIDGE","DECKREP","P5","M3","Rural Connectors","Queen Charlotte",1072.72,233
2018-02-01,"BR","BRIDGE","DEBRIS","P5","M3","Rural Connectors","Queen Charlotte",1167.53,234
2023-09-01,"TF","EDGEPOST","NONFUNCT","P5","M3","Rural Connectors","Queen Charlotte",35,235
2022-04-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",62.5,236
2021-05-01,"EN","ENVCLEAN","DETRITUS","P5","M3","Rural Connectors","Queen Charlotte",2.5,237
2013-01-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",120,238
2022-04-01,"TF","SIGNMAINT","CLEAN","P5","M3","Rural Connectors","Queen Charlotte",90,239
2013-01-01,"PA","STAB","SHEAR","P5","M3","Rural Connectors","Queen Charlotte",2160,240
2010-03-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",60,241
2017-05-01,"EN","EMERGENCY","LIVESTOCK","P5","M3","Rural Connectors","Queen Charlotte",50,242
2010-10-01,"PA","LEVEL","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",480,243
2021-12-01,"DR","SWSTRUCT","CULBLOCK","P5","M3","Rural Connectors","Queen Charlotte",5580,244
2023-09-01,"EN","ENVCLEAN","LITTER","P5","M3","Rural Connectors","Queen Charlotte",1,245
2022-05-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",10575,246
2021-02-01,"EN","EMERGENCY","TREEFALL","P5","M3","Rural Connectors","Queen Charlotte",115,247
2010-10-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",112.5,248
2021-02-01,"EN","EMERGENCY","TREEFALL","P5","M3","Rural Connectors","Queen Charlotte",115,249
2012-04-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",270,250
2011-03-01,"PA","OVERLAY","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",160,251
2022-05-01,"EN","EMERGENCY","SLIP","P5","M3","Rural Connectors","Queen Charlotte",4700,252
2021-12-01,"DR","SWSTRUCT","CULBLOCK","P5","M3","Rural Connectors","Queen Charlotte",124,253
2011-03-01,"PA","OVERLAY","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",2400,254
2018-04-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,255
2015-02-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,256
2011-03-01,"PA","OVERLAY","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",240,257
2010-10-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",120,258
2014-05-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",48,259
2014-08-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",33,260
2013-01-01,"PA","DIGOUTS","SHEAR","P5","M3","Rural Connectors","Queen Charlotte",5440,261
2017-11-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",66,262
2010-02-01,"PA","POTFILL","HOLES","P5","M3","Rural Connectors","Queen Charlotte",30,263
2012-12-01,"PA","OVERLAY","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",1280,264
2022-01-01,"PA","LEVEL","DEPRESS","P5","M3","Rural Connectors","Queen Charlotte",70,265
2013-01-01,"SH","SHLDMAINT","EDGEBRK","P5","M3","Rural Connectors","Queen Charlotte",75,266
