"stop_id","stop_name","stop_code","stop_lat","stop_lon","zone_id"
714,"Drivers Rd, cnr Tolcarne Ave","228",-45.8612053,170.5047311,"5900_1/2E"
715,"Drivers Rd, 39","225",-45.8599533,170.502325,"5900_2E"
716,"Pearse St, 3","686",-45.9501092,170.3266811,"5900_3B"
717,"School Stop - Kings HS","3007",-45.9036044,170.4935375,"5900_2B"
718,"Factory Rd, 29","260",-45.8729025,170.3508397,"5900_3C"
719,"Brighton Rd, cnr McColl Rd","90",-45.9372872,170.3551969,"5900_3B"
720,"Rentons Rd, 7","801",-45.8697942,170.3579917,"5900_3C"
721,"Chapman St, opposite 160","185",-45.8547836,170.4934164,"5900_2E"
722,"North Taieri Rd, 37","650",-45.8961997,170.4208861,"5900_2C"
723,"Ashmore St, 7","48",-45.8567119,170.4708964,"5900_2E"
724,"Ashmore St, 27","46",-45.8577597,170.4689458,"5900_2E"
725,"Mayfield Ave, 66","565",-45.8553108,170.4860742,"5900_2E"
726,"Royal Cres, 33","826",-45.9012083,170.5127306,"5900_2A"
727,"Cavell St, 123","173",-45.9029989,170.5232761,"5900_2A"
728,"North Rd, 375","638",-45.8457656,170.5369697,"5900_2F"
729,"Brockville Rd, 295","145",-45.8672381,170.45528,"5900_2E"
730,"Argyle St, 41","37",-45.8838436,170.3492272,"5900_3C"
731,"Brighton Rd, opposite Viscount Rd","127",-45.939345,170.3446433,"5900_3B"
732,"Kokomuka Ave, cnr Stepney Ave","192",-45.8131222,170.6714325,"5900_3A"
733,"South Rd, 475","910",-45.8962644,170.4707175,"5900_2B"
734,"Murray St, 55","606",-45.8677317,170.3546261,"5900_3C"
735,"High St, 33","397",-45.874795,170.356128,"5900_3C"
736,"Murray St, 5","607",-45.8690947,170.3498056,"5900_3C"
737,"Brighton Rd, opposite Cemetery","129",-45.9274786,170.3879708,"5900_3B"
738,"Brockville Rd, 165","138",-45.8661114,170.4649639,"5900_2E"
739,"North Taieri Rd, 11","649",-45.8977778,170.4220794,"5900_2C"
740,"North Rd, 329","637",-45.8471592,170.5346086,"5900_2F"
741,"Severn St, 41","838",-45.8674881,170.3625342,"5900_3C"
742,"Forbury Rd, 161","276",-45.9073031,170.4872528,"5900_2B"
743,"Fulton Rd, 385","288",-45.8385964,170.4988006,"5900_2F"
744,"South Rd, opposite 44","920",-45.8920269,170.4935472,"5900_1"
745,"Drivers Rd Layby","227",-45.8628394,170.5052333,"5900_1"
746,"South Rd, 439","922",-45.8973894,170.4717833,"5900_2B"
747,"South Rd, 511","923",-45.8966728,170.4672297,"5900_2B"
748,"North Taieri Rd, opposite 11","655",-45.8977853,170.4219611,"5900_2C"
749,"Macandrew Rd, 153","498",-45.8983328,170.4964783,"5900_2B"
750,"Greenhill Ave, 3","358",-45.8586247,170.4837222,"5900_2E"
751,"Malvern St, 31","550",-45.8526522,170.5080319,"5900_2F"
752,"Braemar St, 45","89",-45.8716142,170.3343117,"5900_3C"
753,"Brockville Rd, 101","144",-45.8655322,170.4687853,"5900_2E"
754,"Elgin Rd, 27","252",-45.8823044,170.4759581,"5900_2D"
755,"Middleton Rd, 175","574",-45.9087442,170.4744608,"5900_2B"
756,"Corstorphine Rd, 193","198",-45.9087006,170.4702092,"5900_2B"
757,"Brighton Rd, 488","117",-45.9310475,170.3821256,"5900_3B"
758,"Mitchell Ave, 38","587",-45.8884942,170.4769033,"5900_2D"
759,"Elgin Rd, 139","874",-45.8880053,170.4738828,"5900_2D"
